,Category,Message
13,0,"['i', 'v', 'e', 'b', 'e', 'e', 'n', 's', 'e', 'a', 'r', 'c', 'h', 'i', 'n', 'g', 'f', 'o', 'r', 't', 'h', 'e', 'r', 'i', 'g', 'h', 't', 'w', 'o', 'r', 'd', 's', 't', 'o', 't', 'h', 'a', 'n', 'k', 'y', 'o', 'u', 'f', 'o', 'r', 't', 'h', 'i', 's', 'b', 'r', 'e', 'a', 't', 'h', 'e', 'r', 'i', 'p', 'r', 'o', 'm', 'i', 's', 'e', 'i', 'w', 'o', 'n', 't', 't', 'a', 'k', 'e', 'y', 'o', 'u', 'r', 'h', 'e', 'l', 'p', 'f', 'o', 'r', 'g', 'r', 'a', 'n', 't', 'e', 'd', 'a', 'n', 'd', 'w', 'i', 'l', 'l', 'f', 'u', 'l', 'f', 'i', 'l', 'm', 'y', 'p', 'r', 'o', 'm', 'i', 's', 'e', 'y', 'o', 'u', 'h', 'a', 'v', 'e', 'b', 'e', 'e', 'n', 'w', 'o', 'n', 'd', 'e', 'r', 'f', 'u', 'l', 'a', 'n', 'd', 'a', 'b', 'l', 'e', 's', 's', 'i', 'n', 'g', 'a', 't', 'a', 'l', 'l', 't', 'i', 'm', 'e', 's']"
14,0,"['i', 'h', 'a', 'v', 'e', 'a', 'd', 'a', 't', 'e', 'o', 'n', 's', 'u', 'n', 'd', 'a', 'y', 'w', 'i', 't', 'h', 'w', 'i', 'l', 'l']"
15,1,"['x', 'x', 'x', 'm', 'o', 'b', 'i', 'l', 'e', 'm', 'o', 'v', 'i', 'e', 'c', 'l', 'u', 'b', 't', 'o', 'u', 's', 'e', 'y', 'o', 'u', 'r', 'c', 'r', 'e', 'd', 'i', 't', 'c', 'l', 'i', 'c', 'k', 't', 'h', 'e', 'w', 'a', 'p', 'l', 'i', 'n', 'k', 'i', 'n', 't', 'h', 'e', 'n', 'e', 'x', 't', 't', 'x', 't', 'm', 'e', 's', 's', 'a', 'g', 'e', 'o', 'r', 'c', 'l', 'i', 'c', 'k', 'h', 'e', 'r', 'e', 'h', 't', 't', 'p', 'w', 'a', 'p', 'x', 'x', 'x', 'm', 'o', 'b', 'i', 'l', 'e', 'm', 'o', 'v', 'i', 'e', 'c', 'l', 'u', 'b', 'c', 'o', 'm', 'n', 'q', 'j', 'k', 'g', 'i', 'g', 'h', 'j', 'j', 'g', 'c', 'b', 'l']"
16,0,"['o', 'h', 'k', 'i', 'm', 'w', 'a', 't', 'c', 'h', 'i', 'n', 'g', 'h', 'e', 'r', 'e']"
17,0,"['e', 'h', 'u', 'r', 'e', 'm', 'e', 'm', 'b', 'e', 'r', 'h', 'o', 'w', '2', 's', 'p', 'e', 'l', 'l', 'h', 'i', 's', 'n', 'a', 'm', 'e', 'y', 'e', 's', 'i', 'd', 'i', 'd', 'h', 'e', 'v', 'n', 'a', 'u', 'g', 'h', 't', 'y', 'm', 'a', 'k', 'e', 'u', 'n', 't', 'i', 'l', 'i', 'v', 'w', 'e', 't']"
18,0,"['f', 'i', 'n', 'e', 'i', 'f', 't', 'h', 'a', 't', 's', 't', 'h', 'e', 'w', 'a', 'y', 'u', 'f', 'e', 'e', 'l', 't', 'h', 'a', 't', 's', 't', 'h', 'e', 'w', 'a', 'y', 'i', 't', 's', 'g', 'o', 't', 'a', 'b']"
19,1,"['e', 'n', 'g', 'l', 'a', 'n', 'd', 'v', 'm', 'a', 'c', 'e', 'd', 'o', 'n', 'i', 'a', 'd', 'o', 'n', 't', 'm', 'i', 's', 's', 't', 'h', 'e', 'g', 'o', 'a', 'l', 's', 't', 'e', 'a', 'm', 'n', 'e', 'w', 's', 't', 'x', 't', 'u', 'r', 'n', 'a', 't', 'i', 'o', 'n', 'a', 'l', 't', 'e', 'a', 'm', 't', 'o', '8', '7', '0', '7', '7', 'e', 'g', 'e', 'n', 'g', 'l', 'a', 'n', 'd', 't', 'o', '8', '7', '0', '7', '7', 't', 'r', 'y', 'w', 'a', 'l', 'e', 's', 's', 'c', 'o', 't', 'l', 'a', 'n', 'd', '4', 't', 'x', 't', '1', '2', '0', 'p', 'o', 'b', 'o', 'x', 'o', 'x', '3', '6', '5', '0', '4', 'w', '4', '5', 'w', 'q', '1', '6']"
20,0,"['i', 's', 't', 'h', 'a', 't', 's', 'e', 'r', 'i', 'o', 'u', 's', 'l', 'y', 'h', 'o', 'w', 'y', 'o', 'u', 's', 'p', 'e', 'l', 'l', 'h', 'i', 's', 'n', 'a', 'm', 'e']"
21,0,"['i', 'm', 'g', 'o', 'i', 'n', 'g', 't', 'o', 't', 'r', 'y', 'f', 'o', 'r', '2', 'm', 'o', 'n', 't', 'h', 's', 'h', 'a', 'h', 'a', 'o', 'n', 'l', 'y', 'j', 'o', 'k', 'i', 'n', 'g']"
22,0,"['s', 'o', 'p', 'a', 'y', 'f', 'i', 'r', 's', 't', 'l', 'a', 'r', 't', 'h', 'e', 'n', 'w', 'h', 'e', 'n', 'i', 's', 'd', 'a', 's', 't', 'o', 'c', 'k', 'c', 'o', 'm', 'i', 'n']"
23,0,"['a', 'f', 't', 'i', 'f', 'i', 'n', 'i', 's', 'h', 'm', 'y', 'l', 'u', 'n', 'c', 'h', 't', 'h', 'e', 'n', 'i', 'g', 'o', 's', 't', 'r', 'd', 'o', 'w', 'n', 'l', 'o', 'r', 'a', 'r', 'd', '3', 's', 'm', 't', 'h', 'l', 'o', 'r', 'u', 'f', 'i', 'n', 'i', 's', 'h', 'u', 'r', 'l', 'u', 'n', 'c', 'h', 'a', 'l', 'r', 'e', 'a', 'd', 'y']"
24,0,"['f', 'f', 'f', 'f', 'f', 'f', 'f', 'f', 'f', 'f', 'a', 'l', 'r', 'i', 'g', 'h', 't', 'n', 'o', 'w', 'a', 'y', 'i', 'c', 'a', 'n', 'm', 'e', 'e', 't', 'u', 'p', 'w', 'i', 't', 'h', 'y', 'o', 'u', 's', 'o', 'o', 'n', 'e', 'r']"
25,0,"['j', 'u', 's', 't', 'f', 'o', 'r', 'c', 'e', 'd', 'm', 'y', 's', 'e', 'l', 'f', 't', 'o', 'e', 'a', 't', 'a', 's', 'l', 'i', 'c', 'e', 'i', 'm', 'r', 'e', 'a', 'l', 'l', 'y', 'n', 'o', 't', 'h', 'u', 'n', 'g', 'r', 'y', 't', 'h', 'o', 't', 'h', 'i', 's', 's', 'u', 'c', 'k', 's', 'm', 'a', 'r', 'k', 'i', 's', 'g', 'e', 't', 't', 'i', 'n', 'g', 'w', 'o', 'r', 'r', 'i', 'e', 'd', 'h', 'e', 'k', 'n', 'o', 'w', 's', 'i', 'm', 's', 'i', 'c', 'k', 'w', 'h', 'e', 'n', 'i', 't', 'u', 'r', 'n', 'd', 'o', 'w', 'n', 'p', 'i', 'z', 'z', 'a', 'l', 'o', 'l']"
26,0,"['l', 'o', 'l', 'y', 'o', 'u', 'r', 'a', 'l', 'w', 'a', 'y', 's', 's', 'o', 'c', 'o', 'n', 'v', 'i', 'n', 'c', 'i', 'n', 'g']"
27,0,"['d', 'i', 'd', 'y', 'o', 'u', 'c', 'a', 't', 'c', 'h', 't', 'h', 'e', 'b', 'u', 's', 'a', 'r', 'e', 'y', 'o', 'u', 'f', 'r', 'y', 'i', 'n', 'g', 'a', 'n', 'e', 'g', 'g', 'd', 'i', 'd', 'y', 'o', 'u', 'm', 'a', 'k', 'e', 'a', 't', 'e', 'a', 'a', 'r', 'e', 'y', 'o', 'u', 'e', 'a', 't', 'i', 'n', 'g', 'y', 'o', 'u', 'r', 'm', 'o', 'm', 's', 'l', 'e', 'f', 't', 'o', 'v', 'e', 'r', 'd', 'i', 'n', 'n', 'e', 'r', 'd', 'o', 'y', 'o', 'u', 'f', 'e', 'e', 'l', 'm', 'y', 'l', 'o', 'v', 'e']"
28,0,"['i', 'm', 'b', 'a', 'c', 'k', 'a', 'm', 'p', 'w', 'e', 'r', 'e', 'p', 'a', 'c', 'k', 'i', 'n', 'g', 't', 'h', 'e', 'c', 'a', 'r', 'n', 'o', 'w', 'i', 'l', 'l', 'l', 'e', 't', 'y', 'o', 'u', 'k', 'n', 'o', 'w', 'i', 'f', 't', 'h', 'e', 'r', 'e', 's', 'r', 'o', 'o', 'm']"
29,0,"['a', 'h', 'h', 'h', 'w', 'o', 'r', 'k', 'i', 'v', 'a', 'g', 'u', 'e', 'l', 'y', 'r', 'e', 'm', 'e', 'm', 'b', 'e', 'r', 't', 'h', 'a', 't', 'w', 'h', 'a', 't', 'd', 'o', 'e', 's', 'i', 't', 'f', 'e', 'e', 'l', 'l', 'i', 'k', 'e', 'l', 'o', 'l']"
30,0,"['w', 'a', 'i', 't', 't', 'h', 'a', 't', 's', 's', 't', 'i', 'l', 'l', 'n', 'o', 't', 'a', 'l', 'l', 't', 'h', 'a', 't', 'c', 'l', 'e', 'a', 'r', 'w', 'e', 'r', 'e', 'y', 'o', 'u', 'n', 'o', 't', 's', 'u', 'r', 'e', 'a', 'b', 'o', 'u', 't', 'm', 'e', 'b', 'e', 'i', 'n', 'g', 's', 'a', 'r', 'c', 'a', 's', 't', 'i', 'c', 'o', 'r', 't', 'h', 'a', 't', 't', 'h', 'a', 't', 's', 'w', 'h', 'y', 'x', 'd', 'o', 'e', 's', 'n', 't', 'w', 'a', 'n', 't', 't', 'o', 'l', 'i', 'v', 'e', 'w', 'i', 't', 'h', 'u', 's']"
31,0,"['y', 'e', 'a', 'h', 'h', 'e', 'g', 'o', 't', 'i', 'n', 'a', 't', '2', 'a', 'n', 'd', 'w', 'a', 's', 'v', 'a', 'p', 'o', 'l', 'o', 'g', 'e', 't', 'i', 'c', 'n', 'h', 'a', 'd', 'f', 'a', 'l', 'l', 'e', 'n', 'o', 'u', 't', 'a', 'n', 'd', 's', 'h', 'e', 'w', 'a', 's', 'a', 'c', 't', 'i', 'n', 'l', 'i', 'k', 'e', 's', 'p', 'o', 'i', 'l', 't', 'c', 'h', 'i', 'l', 'd', 'a', 'n', 'd', 'h', 'e', 'g', 'o', 't', 'c', 'a', 'u', 'g', 'h', 't', 'u', 'p', 'i', 'n', 't', 'h', 'a', 't', 't', 'i', 'l', 'l', '2', 'b', 'u', 't', 'w', 'e', 'w', 'o', 'n', 't', 'g', 'o', 't', 'h', 'e', 'r', 'e', 'n', 'o', 't', 'd', 'o', 'i', 'n', 'g', 't', 'o', 'o', 'b', 'a', 'd', 'l', 'y', 'c', 'h', 'e', 'e', 'r', 's', 'y', 'o', 'u']"
32,0,"['k', 't', 'e', 'l', 'l', 'm', 'e', 'a', 'n', 'y', 't', 'h', 'i', 'n', 'g', 'a', 'b', 'o', 'u', 't', 'y', 'o', 'u']"
33,0,"['f', 'o', 'r', 'f', 'e', 'a', 'r', 'o', 'f', 'f', 'a', 'i', 'n', 't', 'i', 'n', 'g', 'w', 'i', 't', 'h', 't', 'h', 'e', 'o', 'f', 'a', 'l', 'l', 't', 'h', 'a', 't', 'h', 'o', 'u', 's', 'e', 'w', 'o', 'r', 'k', 'y', 'o', 'u', 'j', 'u', 's', 't', 'd', 'i', 'd', 'q', 'u', 'i', 'c', 'k', 'h', 'a', 'v', 'e', 'a', 'c', 'u', 'p', 'p', 'a']"
34,1,"['t', 'h', 'a', 'n', 'k', 's', 'f', 'o', 'r', 'y', 'o', 'u', 'r', 's', 'u', 'b', 's', 'c', 'r', 'i', 'p', 't', 'i', 'o', 'n', 't', 'o', 'r', 'i', 'n', 'g', 't', 'o', 'n', 'e', 'u', 'k', 'y', 'o', 'u', 'r', 'm', 'o', 'b', 'i', 'l', 'e', 'w', 'i', 'l', 'l', 'b', 'e', 'c', 'h', 'a', 'r', 'g', 'e', 'd', '5', 'm', 'o', 'n', 't', 'h', 'p', 'l', 'e', 'a', 's', 'e', 'c', 'o', 'n', 'f', 'i', 'r', 'm', 'b', 'y', 'r', 'e', 'p', 'l', 'y', 'i', 'n', 'g', 'y', 'e', 's', 'o', 'r', 'n', 'o', 'i', 'f', 'y', 'o', 'u', 'r', 'e', 'p', 'l', 'y', 'n', 'o', 'y', 'o', 'u', 'w', 'i', 'l', 'l', 'n', 'o', 't', 'b', 'e', 'c', 'h', 'a', 'r', 'g', 'e', 'd']"
35,0,"['y', 'u', 'p', 'o', 'k', 'i', 'g', 'o', 'h', 'o', 'm', 'e', 'l', 'o', 'o', 'k', 'a', 't', 't', 'h', 'e', 't', 'i', 'm', 'i', 'n', 'g', 's', 't', 'h', 'e', 'n', 'i', 'm', 's', 'g', 'a', 'g', 'a', 'i', 'n', 'x', 'u', 'h', 'u', 'i', 'g', 'o', 'i', 'n', 'g', 't', 'o', 'l', 'e', 'a', 'r', 'n', 'o', 'n', '2', 'n', 'd', 'm', 'a', 'y', 't', 'o', 'o', 'b', 'u', 't', 'h', 'e', 'r', 'l', 'e', 's', 's', 'o', 'n', 'i', 's', 'a', 't', '8', 'a', 'm']"
36,0,"['o', 'o', 'p', 's', 'i', 'l', 'l', 'l', 'e', 't', 'y', 'o', 'u', 'k', 'n', 'o', 'w', 'w', 'h', 'e', 'n', 'm', 'y', 'r', 'o', 'o', 'm', 'm', 'a', 't', 'e', 's', 'd', 'o', 'n', 'e']"
37,0,"['i', 's', 'e', 'e', 't', 'h', 'e', 'l', 'e', 't', 't', 'e', 'r', 'b', 'o', 'n', 'm', 'y', 'c', 'a', 'r']"
38,0,"['a', 'n', 'y', 't', 'h', 'i', 'n', 'g', 'l', 'o', 'r', 'u', 'd', 'e', 'c', 'i', 'd', 'e']"
39,0,"['h', 'e', 'l', 'l', 'o', 'h', 'o', 'w', 's', 'y', 'o', 'u', 'a', 'n', 'd', 'h', 'o', 'w', 'd', 'i', 'd', 's', 'a', 't', 'u', 'r', 'd', 'a', 'y', 'g', 'o', 'i', 'w', 'a', 's', 'j', 'u', 's', 't', 't', 'e', 'x', 't', 'i', 'n', 'g', 't', 'o', 's', 'e', 'e', 'i', 'f', 'y', 'o', 'u', 'd', 'd', 'e', 'c', 'i', 'd', 'e', 'd', 't', 'o', 'd', 'o', 'a', 'n', 'y', 't', 'h', 'i', 'n', 'g', 't', 'o', 'm', 'o', 'n', 'o', 't', 't', 'h', 'a', 't', 'i', 'm', 't', 'r', 'y', 'i', 'n', 'g', 't', 'o', 'i', 'n', 'v', 'i', 't', 'e', 'm', 'y', 's', 'e', 'l', 'f', 'o', 'r', 'a', 'n', 'y', 't', 'h', 'i', 'n', 'g']"
40,0,"['p', 'l', 's', 'g', 'o', 'a', 'h', 'e', 'a', 'd', 'w', 'i', 't', 'h', 'w', 'a', 't', 't', 's', 'i', 'j', 'u', 's', 't', 'w', 'a', 'n', 't', 'e', 'd', 't', 'o', 'b', 'e', 's', 'u', 'r', 'e', 'd', 'o', 'h', 'a', 'v', 'e', 'a', 'g', 'r', 'e', 'a', 't', 'w', 'e', 'e', 'k', 'e', 'n', 'd', 'a', 'b', 'i', 'o', 'l', 'a']"
41,0,"['d', 'i', 'd', 'i', 'f', 'o', 'r', 'g', 'e', 't', 't', 'o', 't', 'e', 'l', 'l', 'y', 'o', 'u', 'i', 'w', 'a', 'n', 't', 'y', 'o', 'u', 'i', 'n', 'e', 'e', 'd', 'y', 'o', 'u', 'i', 'c', 'r', 'a', 'v', 'e', 'y', 'o', 'u', 'b', 'u', 't', 'm', 'o', 's', 't', 'o', 'f', 'a', 'l', 'l', 'i', 'l', 'o', 'v', 'e', 'y', 'o', 'u', 'm', 'y', 's', 'w', 'e', 'e', 't', 'a', 'r', 'a', 'b', 'i', 'a', 'n', 's', 't', 'e', 'e', 'd', 'm', 'm', 'm', 'm', 'm', 'm', 'y', 'u', 'm', 'm', 'y']"
42,1,"['0', '7', '7', '3', '2', '5', '8', '4', '3', '5', '1', 'r', 'o', 'd', 'g', 'e', 'r', 'b', 'u', 'r', 'n', 's', 'm', 's', 'g', 'w', 'e', 't', 'r', 'i', 'e', 'd', 't', 'o', 'c', 'a', 'l', 'l', 'y', 'o', 'u', 'r', 'e', 'y', 'o', 'u', 'r', 'r', 'e', 'p', 'l', 'y', 't', 'o', 'o', 'u', 'r', 's', 'm', 's', 'f', 'o', 'r', 'a', 'f', 'r', 'e', 'e', 'n', 'o', 'k', 'i', 'a', 'm', 'o', 'b', 'i', 'l', 'e', 'f', 'r', 'e', 'e', 'c', 'a', 'm', 'c', 'o', 'r', 'd', 'e', 'r', 'p', 'l', 'e', 'a', 's', 'e', 'c', 'a', 'l', 'l', 'n', 'o', 'w', '0', '8', '0', '0', '0', '9', '3', '0', '7', '0', '5', 'f', 'o', 'r', 'd', 'e', 'l', 'i', 'v', 'e', 'r', 'y', 't', 'o', 'm', 'o', 'r', 'r', 'o', 'w']"
43,0,"['w', 'h', 'o', 'a', 'r', 'e', 'y', 'o', 'u', 's', 'e', 'e', 'i', 'n', 'g']"
44,0,"['g', 'r', 'e', 'a', 't', 'i', 'h', 'o', 'p', 'e', 'y', 'o', 'u', 'l', 'i', 'k', 'e', 'y', 'o', 'u', 'r', 'm', 'a', 'n', 'w', 'e', 'l', 'l', 'e', 'n', 'd', 'o', 'w', 'e', 'd', 'i', 'a', 'm', 'l', 't', 'g', 't', 'i', 'n', 'c', 'h', 'e', 's']"
45,0,"['n', 'o', 'c', 'a', 'l', 'l', 's', 'm', 'e', 's', 's', 'a', 'g', 'e', 's', 'm', 'i', 's', 's', 'e', 'd', 'c', 'a', 'l', 'l', 's']"
46,0,"['d', 'i', 'd', 'n', 't', 'y', 'o', 'u', 'g', 'e', 't', 'h', 'e', 'p', 'b', 'i', 'm', 'm', 'u', 'n', 'i', 's', 'a', 't', 'i', 'o', 'n', 'i', 'n', 'n', 'i', 'g', 'e', 'r', 'i', 'a']"
47,0,"['f', 'a', 'i', 'r', 'e', 'n', 'o', 'u', 'g', 'h', 'a', 'n', 'y', 't', 'h', 'i', 'n', 'g', 'g', 'o', 'i', 'n', 'g', 'o', 'n']"
48,0,"['y', 'e', 'a', 'h', 'h', 'o', 'p', 'e', 'f', 'u', 'l', 'l', 'y', 'i', 'f', 't', 'y', 'l', 'e', 'r', 'c', 'a', 'n', 't', 'd', 'o', 'i', 't', 'i', 'c', 'o', 'u', 'l', 'd', 'm', 'a', 'y', 'b', 'e', 'a', 's', 'k', 'a', 'r', 'o', 'u', 'n', 'd', 'a', 'b', 'i', 't']"
